['01', '13', '03', '23']
['01', '13', '03', '10']
['01', '13', '03', '12']
['01', '13', '03', '30']
['01', '13', '03', '31']
['01', '13', '03', '32']
['01', '13', '20', '02']
['01', '13', '20', '03']
['01', '13', '20', '21']
['01', '13', '20', '23']
['01', '13', '20', '10']
['01', '13', '20', '12']
['01', '13', '20', '30']
['01', '13', '20', '31']
['01', '13', '20', '32']
['01', '13', '21', '02']
['01', '13', '21', '03']
['01', '13', '21', '20']
['01', '13', '21', '23']
['01', '13', '21', '10']
['01', '13', '21', '12']
['01', '13', '21', '30']
['01', '13', '21', '31']
['01', '13', '21', '32']
['01', '13', '23', '02']
['01', '13', '23', '03']
['01', '13', '23', '20']
['01', '13', '23', '21']
['01', '13', '23', '10']
['01', '13', '23', '12']
['01', '13', '23', '30']
['01', '13', '23', '31']
['01', '13', '23', '32']
['01', '13', '10', '02']
['01', '13', '10', '03']
['01', '13', '10', '20']
['01', '13', '10', '21']
['01', '13', '10', '23']
['01', '13', '10', '12']
['01', '13', '10', '30']
['01', '13', '10', '31']
['01', '13', '10', '32']
['01', '13', '12', '02']
['01', '13', '12', '03']
['01', '13', '12', '20']
['01', '13', '12', '21']
['01', '13', '12', '23']
['01', '13', '12', '10']
['01', '13', '12', '30']
['01', '13', '12', '31']
['01', '13', '12', '32']
['01', '13', '30', '02']
['01', '13', '30', '03']
['01', '13', '30', '20']
['01', '13', '30', '21']
['01', '13', '30', '23']
['01', '13', '30', '10']
['01', '13', '30', '12']
['01', '13', '30', '31']
['01', '13', '30', '32']
['01', '13', '31', '02']
['01', '13', '31', '03']
['01', '13', '31', '20']
['01', '13', '31', '21']
['01', '13', '31', '23']
['01', '13', '31', '10']
['01', '13', '31', '12']
['01', '13', '31', '30']
['01', '13', '31', '32']
['01', '13', '32', '02']
['01', '13', '32', '03']
['01', '13', '32', '20']
['01', '13', '32', '21']
['01', '13', '32', '23']
['01', '13', '32', '10']
['01', '13', '32', '12']
['01', '13', '32', '30']
['01', '13', '32', '31']
['01', '30', '02', '03']
['01', '30', '02', '20']
['01', '30', '02', '21']
['01', '30', '02', '23']
['01', '30', '02', '10']
['01', '30', '02', '12']
['01', '30', '02', '13']
['01', '30', '02', '31']
['01', '30', '02', '32']
['01', '30', '03', '02']
['01', '30', '03', '20']
